Workout.1,Workout.2,Workout.3,Workout.4,Workout.5,Workout.6,Workout.7,Workout.8,,
100,,167,134,,,131,148,,
95,,167,134,,,133,151,,
95,,166,134,,,135,154,,
95,,167,135,,,135,156,,
95,,167,136,,,135,158,,
95,,169,136,,,135,158,,
95,,169,135,,,137,157,,
95,,171,134,,,138,156,,
97,,171,133,,,138,155,,
100,,171,133,,,138,155,,
105,,171,132,,,138,155,,
107,,170,131,,,138,157,,
107,,170,127,,,138,159,,
108,,170,125,,,138,160,,
107,,171,123,,,139,160,,
107,,172,123,,,141,160,,
108,,173,121,,,142,161,,
110,,174,118,,,143,162,,
110,,174,121,,,142,162,,
111,,174,123,,,142,162,,
112,,174,127,,,142,162,,
112,,176,128,,,143,163,,
111,,176,123,,,142,163,,
109,,177,117,,,140,163,,
110,,177,115,,,135,163,,
110,,177,115,,,135,164,,
109,,177,116,,,135,165,,
108,,176,116,,,137,163,,
107,,176,117,,,138,161,,
105,,176,118,,,139,159,,
101,,176,120,,,140,158,,
98,,175,120,,,140,158,,
96,,176,121,,,133,160,,
96,,176,122,,,125,161,,
95,,176,122,,,125,162,,
93,,177,121,,,129,163,,
93,,177,120,,,127,163,,
95,,177,120,,,116,163,,
97,,178,118,,,112,163,,
98,,178,118,,,114,164,,
108,,177,118,,,112,164,,
117,,177,118,,,106,165,,
124,,177,118,,,103,165,,
125,,178,117,,,106,163,,
124,,178,117,,,105,163,,
119,,175,117,,,103,162,,
119,,174,117,,,101,163,,
123,,173,117,,,104,164,,
122,,173,117,,,107,165,,
119,,173,117,,,113,166,,
116,,173,117,,,118,166,,
115,,174,117,,,123,166,,
113,,173,116,,,131,167,,
100,,173,116,,,135,166,,
101,,173,116,,,139,165,,
99,,172,115,,,144,165,,
106,,172,113,,,149,166,,
102,,171,112,,,152,166,,
99,,171,113,,,154,165,,
97,,171,115,,,157,165,,
99,,171,117,,,160,163,,
107,,173,117,,,162,162,,
112,,174,115,,,163,162,,
112,,176,114,,,163,163,,
110,,177,114,,,163,163,,
109,,178,114,,,162,162,,
110,,179,111,,,162,161,,
111,,179,109,,,161,160,,
109,,180,106,,,162,159,,
107,,181,105,,,164,158,,
107,,182,103,,,166,158,,
106,,182,102,,,167,158,,
107,,182,100,,,168,158,,
108,,182,100,,,168,160,,
109,,182,99,,,168,161,,
108,,183,99,,,168,162,,
108,,183,98,,,169,162,,
107,,183,97,,,169,163,,
107,,184,98,,,170,163,,
107,,184,100,,,171,163,,
108,,185,103,,,172,163,,
109,,185,104,,,173,162,,
109,,185,104,,,173,161,,
108,,185,105,,,173,160,,
107,,185,110,,,173,160,,
104,,186,113,,,173,163,,
103,,187,117,,,174,164,,
103,,187,117,,,174,164,,
103,,187,117,,,174,165,,
104,,187,118,,,174,166,,
106,,187,119,,,173,167,,
105,,187,119,,,173,168,,
106,,187,118,,,173,169,,
106,,187,118,,,174,170,,
105,,187,115,,,174,170,,
105,,187,115,,,174,170,,
102,,186,113,,,174,170,,
101,,186,110,,,176,170,,
100,,186,108,,,176,171,,
102,,186,107,,,177,170,,
103,,186,103,,,177,168,,
100,,186,101,,,177,167,,
94,,186,100,,,176,166,,
89,,186,99,,,176,166,,
94,,185,98,,,176,166,,
97,,185,97,,,176,167,,
99,,185,94,,,175,167,,
97,,186,92,,,174,167,,
95,,187,87,,,174,167,,
92,,186,86,,,174,165,,
92,,185,83,,,173,164,,
93,,186,83,,,173,164,,
95,,186,88,,,173,162,,
96,,187,92,,,172,162,,
94,,187,101,,,173,163,,
90,,187,108,,,173,164,,
89,,189,114,,,174,164,,
86,,190,115,,,175,166,,
81,,190,113,,,175,168,,
81,,190,112,,,174,171,,
80,,190,110,,,174,174,,
81,,190,110,,,174,176,,
85,,190,109,,,175,176,,
93,,190,109,,,175,177,,
96,,190,110,,,175,176,,
98,,190,111,,,175,176,,
101,,190,110,,,175,175,,
109,,189,107,,,176,174,,
115,,189,100,,,178,173,,
119,,189,99,,,178,173,,
119,,189,98,,,178,174,,
117,,189,97,,,178,175,,
116,,189,95,,,178,175,,
118,,189,95,,,179,175,,
120,,189,94,,,180,175,,
122,,189,94,,,180,175,,
123,,189,98,,,180,175,,
127,,189,102,,,180,176,,
133,,190,103,,,180,176,,
136,,189,100,,,180,176,,
138,,190,94,,,180,176,,
139,,190,93,,,180,176,,
139,,190,91,,,180,177,,
139,,191,90,,,180,177,,
140,,191,87,,,180,178,,
139,,191,87,,,181,178,,
139,,191,91,,,181,179,,
139,,191,94,,,181,180,,
140,,191,103,,,180,180,,
141,,190,103,,,180,177,,
143,,190,103,,,180,175,,
144,,190,101,,,181,173,,
145,,190,97,,,181,173,,
146,,189,96,,,181,173,,
147,,189,97,,,181,172,,
147,,185,97,,,180,170,,
148,,184,94,,,180,169,,
148,,184,93,,,180,167,,
148,,184,91,,,181,167,,
148,,184,90,,,181,166,,
147,,182,86,,,181,164,,
147,,180,86,,,180,164,,
147,,180,85,,,179,165,,
148,,178,84,,,180,166,,
147,,178,85,,,181,165,,
146,,176,84,,,181,164,,
146,,175,84,,,181,163,,
146,,173,86,,,181,163,,
146,,173,85,,,181,164,,
146,,171,86,,,181,164,,
146,,171,89,,,181,165,,
145,,171,88,,,181,166,,
146,,171,90,,,181,167,,
147,,170,90,,,181,167,,
148,,169,88,,,181,168,,
150,,171,87,,,180,169,,
152,,171,86,,,179,170,,
154,,170,86,,,179,169,,
154,,170,87,,,179,168,,
154,,170,89,,,179,168,,
152,,169,90,,,178,168,,
148,,169,95,,,177,167,,
147,,168,100,,,177,166,,
147,,169,101,,,177,164,,
148,,169,101,,,178,163,,
148,,170,101,,,178,162,,
146,,170,101,,,178,160,,
145,,170,104,,,178,160,,
145,,170,107,,,179,160,,
146,,170,107,,,179,162,,
146,,171,107,,,179,162,,
142,,172,106,,,179,163,,
141,,172,104,,,180,165,,
141,,173,104,,,181,166,,
141,,173,108,,,182,168,,
142,,175,108,,,182,169,,
143,,175,105,,,183,169,,
145,,176,102,,,183,168,,
146,,176,100,,,183,167,,
146,,176,101,,,182,165,,
146,,175,104,,,182,164,,
145,,174,104,,,182,164,,
143,,174,102,,,183,165,,
142,,172,100,,,183,164,,
142,,173,98,,,184,164,,
142,,172,92,,,183,165,,
144,,172,86,,,183,165,,
145,,172,85,,,183,164,,
